Model,Feature Extraction,Accuracy,Precision,Recall,F1 Score
RF,"TF-IDF(1, 1)",0.913239267487241,0.8891774891774892,0.8644781144781145,0.8766538625693555
RF,"TF-IDF(1, 2)",0.9156409486640649,0.9031111111111111,0.8552188552188552,0.8785127539991353
RF,"TF-IDF(1, 3)",0.9168417892524767,0.9020300088261254,0.8602693602693603,0.8806548901335631
RF,"TF-IDF(1, 4)",0.9159411588111678,0.901060070671378,0.8585858585858586,0.8793103448275861
RF,Count Vectorization,0.9084359051335935,0.906163753449862,0.8291245791245792,0.8659340659340661
LR,"TF-IDF(1, 1)",0.9198438907235065,0.8866498740554156,0.8888888888888888,0.8877679697351828
LR,"TF-IDF(1, 2)",0.9144401080756529,0.9123287671232877,0.8409090909090909,0.8751642575558476
LR,"TF-IDF(1, 3)",0.9081356949864905,0.9224137931034483,0.8106060606060606,0.8629032258064515
LR,"TF-IDF(1, 4)",0.9012308616031222,0.9231527093596059,0.7887205387205387,0.8506581933726737
LR,Count Vectorization,0.9207445211648154,0.8743922204213939,0.9082491582491582,0.8909991742361684
DT,"TF-IDF(1, 1)",0.8429900930651456,0.7750206782464847,0.7887205387205387,0.7818105965790573
DT,"TF-IDF(1, 2)",0.8399879915941159,0.7791986359761296,0.7693602693602694,0.7742481999152901
DT,"TF-IDF(1, 3)",0.8357850495346743,0.7779705117085863,0.7550505050505051,0.7663391712943187
DT,"TF-IDF(1, 4)",0.8294806364455118,0.7631578947368421,0.7567340067340067,0.7599323753169906
DT,Count Vectorization,0.8507955568898229,0.8012205754141238,0.7735690235690236,0.7871520342612419
NB,"TF-IDF(1, 1)",0.8829180426298409,0.9473094170403588,0.7112794612794613,0.8125
NB,"TF-IDF(1, 2)",0.8240768537976584,0.9823717948717948,0.515993265993266,0.6766004415011038
NB,"TF-IDF(1, 3)",0.8102671870309216,0.9826388888888888,0.4764309764309764,0.6417233560090703
NB,"TF-IDF(1, 4)",0.8012608826178325,0.987037037037037,0.44865319865319864,0.6168981481481481
NB,Count Vectorization,0.9147403182227559,0.8971880492091389,0.8594276094276094,0.8779019776440241
SVC,"TF-IDF(1, 1)",0.9381567096967878,0.9078073089700996,0.92003367003367,0.9138795986622072
SVC,"TF-IDF(1, 2)",0.9318522966076254,0.918918918918919,0.8872053872053872,0.9027837259100643
SVC,"TF-IDF(1, 3)",0.9252476733713599,0.9272065514103731,0.8577441077441077,0.8911237428946217
SVC,"TF-IDF(1, 4)",0.9189432602821975,0.9305816135084428,0.835016835016835,0.8802129547471161
SVC,Count Vectorization,0.9108375863104173,0.8549800796812749,0.9031986531986532,0.8784281620957838
GB,"TF-IDF(1, 1)",0.8580006004202942,0.8743455497382199,0.7028619528619529,0.7792813812412507
GB,"TF-IDF(1, 2)",0.8586010207145002,0.8624873609706775,0.718013468013468,0.7836472209462563
GB,"TF-IDF(1, 3)",0.8577003902731912,0.8562874251497006,0.7222222222222222,0.7835616438356166
GB,"TF-IDF(1, 4)",0.8555989192434704,0.8552763819095477,0.7163299663299664,0.7796610169491525
GB,Count Vectorization,0.8555989192434704,0.7895167895167895,0.8114478114478114,0.8003320880033208
KNN,"TF-IDF(1, 1)",0.8946262383668568,0.8981921979067554,0.7946127946127947,0.84323358642251
KNN,"TF-IDF(1, 2)",0.8934253977784449,0.8955365622032289,0.7937710437710438,0.8415885765283356
KNN,"TF-IDF(1, 3)",0.8946262383668568,0.8974358974358975,0.7954545454545454,0.8433734939759037
KNN,"TF-IDF(1, 4)",0.89192434704293,0.8973128598848369,0.7870370370370371,0.8385650224215246
KNN,Count Vectorization,0.784449114380066,0.7011986301369864,0.6893939393939394,0.6952461799660442
